No	Time[sec]	VOLT[V]	CURR[A]
573	121	0.55	9.95169e-006
574	121	0.55	9.80046e-006
575	121	0.55	9.59563e-006
576	122	0.55	9.54519e-006
577	122	0.55	9.67425e-006
578	122	0.55	9.63694e-006
579	122	0.55	9.68783e-006
580	122	0.55	9.67368e-006
581	123	0.55	9.66686e-006
582	123	0.55	9.78022e-006
583	123	0.55	9.72026e-006
584	123	0.55	9.78544e-006
585	124	0.55	9.90909e-006
586	124	0.55	1.0076e-005
587	124	0.55	9.85673e-006
588	124	0.55	9.81625e-006
589	124	0.55	9.79238e-006
590	125	0.55	9.79825e-006
591	125	0.55	9.88253e-006
592	125	0.55	9.91853e-006
593	125	0.55	9.79179e-006
594	125	0.55	9.73141e-006
595	126	0.55	9.75614e-006
596	126	0.55	9.7413e-006
597	126	0.55	9.68244e-006
598	126	0.55	9.64303e-006
599	126	0.55	9.67972e-006
600	127	0.6	1.09259e-005
601	127	0.6	1.09367e-005
602	127	0.6	1.08856e-005
603	127	0.6	1.08169e-005
604	127	0.6	1.08631e-005
605	128	0.6	1.06576e-005
606	128	0.6	1.08795e-005
607	128	0.6	1.08543e-005
608	128	0.6	1.09046e-005
609	129	0.6	1.07579e-005
610	129	0.6	1.08899e-005
611	129	0.6	1.05635e-005
612	129	0.6	1.06936e-005
613	129	0.6	1.07429e-005
614	130	0.6	1.07489e-005
615	130	0.6	1.0776e-005
616	130	0.6	1.09375e-005
617	130	0.6	1.07172e-005
618	130	0.6	1.06905e-005
619	131	0.6	1.06856e-005
620	131	0.6	1.07492e-005
621	131	0.6	1.08966e-005
622	131	0.6	1.07209e-005
623	131	0.6	1.07646e-005
624	132	0.6	1.071e-005
625	132	0.6	1.06347e-005
626	132	0.6	1.0604e-005
627	132	0.6	1.06084e-005
628	132	0.6	1.06445e-005
629	133	0.6	1.05216e-005
630	133	0.6	1.0582e-005
631	133	0.6	1.0652e-005
632	133	0.6	1.04249e-005
633	133	0.6	1.06076e-005
634	134	0.6	1.03531e-005
635	134	0.6	1.04733e-005
636	134	0.6	1.05164e-005
637	134	0.6	1.05098e-005
638	134	0.6	1.04629e-005
639	135	0.6	1.04705e-005
640	135	0.6	1.05911e-005
641	135	0.6	1.06676e-005
642	135	0.6	1.08133e-005
643	136	0.6	1.07927e-005
644	136	0.6	1.065e-005
645	136	0.6	1.06023e-005
646	136	0.6	1.04349e-005
647	136	0.6	1.03965e-005
648	137	0.6	1.04275e-005
649	137	0.6	1.07275e-005
650	137	0.65	1.17693e-005
651	137	0.65	1.15922e-005
652	137	0.65	1.17503e-005
653	138	0.65	1.1589e-005
654	138	0.65	1.1533e-005
655	138	0.65	1.18436e-005
656	138	0.65	1.19259e-005
657	138	0.65	1.16754e-005
658	139	0.65	1.18233e-005
659	139	0.65	1.18288e-005
660	139	0.65	1.15455e-005
661	139	0.65	1.17191e-005
662	139	0.65	1.15224e-005
663	140	0.65	1.16559e-005
664	140	0.65	1.13854e-005
665	140	0.65	1.14298e-005
666	140	0.65	1.14523e-005
667	140	0.65	1.1328e-005
